model_a,model_b,winner,market_id,cluster,series
cftc_softs_1,cotton_fundamental_1,model_b,0EQt9Zc0A6,cotton,"will producer/merchant net short position in ice cotton futures exceed contracts on june , ?"
cftc_softs_1,cotton_fundamental_1,model_b,0SsR99EpSA,cotton,"will managed money net long position in ice cotton futures exceed contracts on june , ?"
cftc_softs_1,commodity_1,tie,0dQd08l9Uq,cotton,"will open interest in ice cotton no. futures exceed contracts on june , ?"
cftc_softs_1,cotton_fundamental_1,tie,0dQd08l9Uq,cotton,"will open interest in ice cotton no. futures exceed contracts on june , ?"
commodity_1,cotton_fundamental_1,tie,0dQd08l9Uq,cotton,"will open interest in ice cotton no. futures exceed contracts on june , ?"
cftc_softs_1,cotton_fundamental_1,tie,0uyZN5tdRq,cotton,"will producer/merchant net short position in ice cotton futures exceed contracts on june , ?"
commodity_spot_1,pair_trading_1,tie,2c0I2p2UyA,platinum,"will platinum spot price (lbma am fix) exceed usd per troy oz on may , ?"
cftc_softs_1,commodity_1,tie,2hsLuhzONO,cotton,"will open interest in ice cotton no. futures exceed contracts on june , ?"
cftc_softs_1,cotton_fundamental_1,tie,2hsLuhzONO,cotton,"will open interest in ice cotton no. futures exceed contracts on june , ?"
commodity_1,cotton_fundamental_1,tie,2hsLuhzONO,cotton,"will open interest in ice cotton no. futures exceed contracts on june , ?"
diffusion_mc_1,pair_trading_1,model_a,55g5zlQOCA,platinum,"will lbma platinum spot price exceed usd per troy oz on june , ?"
commodity_spot_1,pair_trading_1,tie,568zRA6zpy,palladium,"will palladium spot price (lbma am fix) exceed usd per troy oz on may , ?"
commodity_spot_1,pair_trading_1,tie,5A0OsnzyNy,palladium,"will lbma palladium spot price exceed usd per troy oz on may , ?"
cftc_softs_1,cotton_fundamental_1,tie,5EO5S2yC90,cotton,"will open interest in ice cotton no. futures exceed contracts on june , ?"
commodity_spot_1,pair_trading_1,tie,65EPRy8pnu,silver,"will lbma silver spot price exceed usd per troy oz on may , ?"
commodity_spot_1,pair_trading_1,model_a,6AUtECQ2EZ,silver,"will lbma silver spot price exceed usd per troy oz on may , ?"
diffusion_mc_1,news_drift_1,tie,6ZEN8Adslg,gold,"will lbma gold spot price exceed usd per troy oz on june , ?"
diffusion_mc_1,news_drift_1,tie,6h5OszZ88A,brent,"will brent crude oil spot price exceed $/barrel on june , ?"
cftc_softs_1,cotton_fundamental_1,model_b,8R2s5CpQPI,cotton,"will managed money net long position in ice cotton futures exceed contracts on june , ?"
cftc_softs_1,commodity_1,tie,8pgQQqU2zN,cotton,"will managed money net long position in ice cotton futures exceed contracts on july , ?"
cftc_softs_1,cotton_fundamental_1,tie,8pgQQqU2zN,cotton,"will managed money net long position in ice cotton futures exceed contracts on july , ?"
commodity_1,cotton_fundamental_1,tie,8pgQQqU2zN,cotton,"will managed money net long position in ice cotton futures exceed contracts on july , ?"
diffusion_mc_1,ensemble_1,model_b,90IO09zqAQ,gold,"will gold spot price (lbma pm fix) exceed usd per troy oz on june , ?"
diffusion_mc_1,news_drift_1,tie,90IO09zqAQ,gold,"will gold spot price (lbma pm fix) exceed usd per troy oz on june , ?"
ensemble_1,news_drift_1,model_a,90IO09zqAQ,gold,"will gold spot price (lbma pm fix) exceed usd per troy oz on june , ?"
commodity_spot_1,pair_trading_1,tie,A8IntOQNRy,palladium,"will lbma palladium spot price exceed usd per troy oz on may , ?"
cftc_softs_1,cotton_fundamental_1,model_a,AQPgzS0n2R,cotton,"will ice cotton no. front-month futures exceed cents/lb on june , ?"
cftc_softs_1,nass_cotton_1,tie,AQPgzS0n2R,cotton,"will ice cotton no. front-month futures exceed cents/lb on june , ?"
cotton_fundamental_1,nass_cotton_1,model_b,AQPgzS0n2R,cotton,"will ice cotton no. front-month futures exceed cents/lb on june , ?"
cftc_softs_1,cotton_fundamental_1,model_b,AgAOdthps5,cotton,"will open interest in ice cotton no. futures exceed contracts on july , ?"
cftc_softs_1,commodity_1,tie,EIPOnCtlQC,cotton,"will producer/merchant net short position in ice cotton futures exceed contracts on june , ?"
cftc_softs_1,cotton_fundamental_1,tie,EIPOnCtlQC,cotton,"will producer/merchant net short position in ice cotton futures exceed contracts on june , ?"
commodity_1,cotton_fundamental_1,tie,EIPOnCtlQC,cotton,"will producer/merchant net short position in ice cotton futures exceed contracts on june , ?"
commodity_spot_1,diffusion_mc_1,model_b,IOuQuzSCES,silver,"will lbma silver spot price exceed usd per troy oz on june , ?"
commodity_spot_1,news_drift_1,model_b,IOuQuzSCES,silver,"will lbma silver spot price exceed usd per troy oz on june , ?"
commodity_spot_1,pair_trading_1,model_a,IOuQuzSCES,silver,"will lbma silver spot price exceed usd per troy oz on june , ?"
diffusion_mc_1,news_drift_1,tie,IOuQuzSCES,silver,"will lbma silver spot price exceed usd per troy oz on june , ?"
diffusion_mc_1,pair_trading_1,model_a,IOuQuzSCES,silver,"will lbma silver spot price exceed usd per troy oz on june , ?"
news_drift_1,pair_trading_1,model_a,IOuQuzSCES,silver,"will lbma silver spot price exceed usd per troy oz on june , ?"
cftc_softs_1,commodity_1,tie,IphhOCq90L,cotton,"will producer/merchant net short position in ice cotton futures exceed contracts on june , ?"
cftc_softs_1,cotton_fundamental_1,tie,IphhOCq90L,cotton,"will producer/merchant net short position in ice cotton futures exceed contracts on june , ?"
commodity_1,cotton_fundamental_1,tie,IphhOCq90L,cotton,"will producer/merchant net short position in ice cotton futures exceed contracts on june , ?"
commodity_spot_1,diffusion_mc_1,model_a,L8lIsudO96,palladium,"will lbma palladium spot price exceed usd per troy oz on june , ?"
commodity_spot_1,pair_trading_1,model_a,L8lIsudO96,palladium,"will lbma palladium spot price exceed usd per troy oz on june , ?"
diffusion_mc_1,pair_trading_1,model_b,L8lIsudO96,palladium,"will lbma palladium spot price exceed usd per troy oz on june , ?"
commodity_spot_1,diffusion_mc_1,model_b,LP6R866AzQ,silver,"will lbma silver spot price exceed usd per troy oz on june , ?"
commodity_spot_1,news_drift_1,model_a,LP6R866AzQ,silver,"will lbma silver spot price exceed usd per troy oz on june , ?"
commodity_spot_1,pair_trading_1,model_b,LP6R866AzQ,silver,"will lbma silver spot price exceed usd per troy oz on june , ?"
diffusion_mc_1,news_drift_1,model_a,LP6R866AzQ,silver,"will lbma silver spot price exceed usd per troy oz on june , ?"
diffusion_mc_1,pair_trading_1,tie,LP6R866AzQ,silver,"will lbma silver spot price exceed usd per troy oz on june , ?"
news_drift_1,pair_trading_1,model_b,LP6R866AzQ,silver,"will lbma silver spot price exceed usd per troy oz on june , ?"
diffusion_mc_1,pair_trading_1,model_b,LhUgcdt6qP,platinum,"will platinum spot price (lbma am fix) exceed usd per troy oz on june , ?"
commodity_spot_1,pair_trading_1,tie,ONccQpCtqS,platinum,"will lbma platinum spot price exceed usd per troy oz on may , ?"
commodity_spot_1,pair_trading_1,model_a,OScNEtQqZ6,silver,"will lbma silver spot price exceed usd per troy oz on may , ?"
cftc_softs_1,cotton_fundamental_1,model_b,OtIldUCsRI,cotton,"will managed money net long position in ice cotton futures exceed contracts on june , ?"
diffusion_mc_1,pair_trading_1,model_a,OzczZPy5Ry,wti,"will wti crude oil spot price exceed $/barrel on june , ?"
commodity_spot_1,diffusion_mc_1,model_a,P0LzUQUOC2,platinum,"will platinum spot price (lbma am fix) exceed usd per troy oz on june , ?"
commodity_spot_1,pair_trading_1,model_a,P0LzUQUOC2,platinum,"will platinum spot price (lbma am fix) exceed usd per troy oz on june , ?"
diffusion_mc_1,pair_trading_1,model_b,P0LzUQUOC2,platinum,"will platinum spot price (lbma am fix) exceed usd per troy oz on june , ?"
commodity_spot_1,diffusion_mc_1,model_a,PQEuPq6SzS,rbob,"will us rbob gasoline spot price exceed $/gallon on june , ?"
commodity_spot_1,news_drift_1,model_a,PQEuPq6SzS,rbob,"will us rbob gasoline spot price exceed $/gallon on june , ?"
commodity_spot_1,pair_trading_1,model_a,PQEuPq6SzS,rbob,"will us rbob gasoline spot price exceed $/gallon on june , ?"
diffusion_mc_1,news_drift_1,model_a,PQEuPq6SzS,rbob,"will us rbob gasoline spot price exceed $/gallon on june , ?"
diffusion_mc_1,pair_trading_1,model_a,PQEuPq6SzS,rbob,"will us rbob gasoline spot price exceed $/gallon on june , ?"
news_drift_1,pair_trading_1,model_b,PQEuPq6SzS,rbob,"will us rbob gasoline spot price exceed $/gallon on june , ?"
commodity_spot_1,diffusion_mc_1,model_a,PyPO0PLhh9,palladium,"will palladium spot price (lbma am fix) exceed usd per troy oz on june , ?"
commodity_spot_1,pair_trading_1,model_a,PyPO0PLhh9,palladium,"will palladium spot price (lbma am fix) exceed usd per troy oz on june , ?"
diffusion_mc_1,pair_trading_1,model_b,PyPO0PLhh9,palladium,"will palladium spot price (lbma am fix) exceed usd per troy oz on june , ?"
cftc_softs_1,cotton_fundamental_1,tie,Q9QRz8E09q,cotton,"will open interest in ice cotton no. futures exceed contracts on june , ?"
diffusion_mc_1,news_drift_1,model_b,QptEgAhuII,gold,"will gold spot price (lbma pm fix) exceed usd per troy oz on june , ?"
cftc_softs_1,commodity_1,model_b,QqncLQNZA2,cotton,"will producer/merchant net short position in ice cotton futures exceed contracts on june , ?"
cftc_softs_1,cotton_fundamental_1,model_b,QqncLQNZA2,cotton,"will producer/merchant net short position in ice cotton futures exceed contracts on june , ?"
commodity_1,cotton_fundamental_1,model_a,QqncLQNZA2,cotton,"will producer/merchant net short position in ice cotton futures exceed contracts on june , ?"
commodity_spot_1,diffusion_mc_1,tie,Qt69yqhUL8,rbob,"will us rbob gasoline spot price exceed $/gallon on june , ?"
commodity_spot_1,news_drift_1,model_a,Qt69yqhUL8,rbob,"will us rbob gasoline spot price exceed $/gallon on june , ?"
diffusion_mc_1,news_drift_1,tie,Qt69yqhUL8,rbob,"will us rbob gasoline spot price exceed $/gallon on june , ?"
cftc_softs_1,cotton_fundamental_1,model_b,QycgqQSq26,cotton,"will producer/merchant net short position in ice cotton futures exceed contracts on june , ?"
commodity_spot_1,diffusion_mc_1,model_a,R29LtqAgSC,palladium,"will palladium spot price (lbma am fix) exceed usd per troy oz on june , ?"
commodity_spot_1,pair_trading_1,model_a,R29LtqAgSC,palladium,"will palladium spot price (lbma am fix) exceed usd per troy oz on june , ?"
diffusion_mc_1,pair_trading_1,tie,R29LtqAgSC,palladium,"will palladium spot price (lbma am fix) exceed usd per troy oz on june , ?"
commodity_spot_1,diffusion_mc_1,model_a,ROLZZ095hl,platinum,"will platinum spot price (lbma am fix) exceed usd per troy oz on june , ?"
commodity_spot_1,pair_trading_1,model_a,ROLZZ095hl,platinum,"will platinum spot price (lbma am fix) exceed usd per troy oz on june , ?"
diffusion_mc_1,pair_trading_1,model_b,ROLZZ095hl,platinum,"will platinum spot price (lbma am fix) exceed usd per troy oz on june , ?"
diffusion_mc_1,pair_trading_1,model_b,RU2CILlcZS,platinum,"will platinum spot price (lbma am fix) exceed usd per troy oz on june , ?"
diffusion_mc_1,news_drift_1,model_b,RgqCA0gO0A,gold,"will gold spot price (lbma pm fix) exceed usd per troy oz on june , ?"
commodity_spot_1,diffusion_mc_1,model_a,RtyccEq99A,rbob,"will us rbob gasoline spot price exceed $/gallon on june , ?"
commodity_spot_1,news_drift_1,model_a,RtyccEq99A,rbob,"will us rbob gasoline spot price exceed $/gallon on june , ?"
commodity_spot_1,pair_trading_1,model_a,RtyccEq99A,rbob,"will us rbob gasoline spot price exceed $/gallon on june , ?"
diffusion_mc_1,news_drift_1,model_a,RtyccEq99A,rbob,"will us rbob gasoline spot price exceed $/gallon on june , ?"
diffusion_mc_1,pair_trading_1,model_a,RtyccEq99A,rbob,"will us rbob gasoline spot price exceed $/gallon on june , ?"
news_drift_1,pair_trading_1,tie,RtyccEq99A,rbob,"will us rbob gasoline spot price exceed $/gallon on june , ?"
