cftc_softs_1,commodity_1,cotton_fundamental_1
3.0,2.0,1.0
3.0,2.0,1.0
3.0,1.0,2.0
3.0,2.0,1.0
3.0,2.0,1.0
3.0,1.0,2.0
3.0,2.0,1.0
3.0,2.0,1.0
3.0,2.0,1.0
3.0,2.0,1.0
3.0,2.0,1.0
3.0,2.0,1.0
3.0,2.0,1.0
3.0,2.0,1.0
3.0,2.0,1.0
3.0,1.0,2.0
3.0,2.0,1.0
3.0,2.0,1.0
3.0,2.0,1.0
3.0,2.0,1.0
3.0,2.0,1.0
3.0,2.0,1.0
3.0,1.0,2.0
3.0,2.0,1.0
3.0,2.0,1.0
3.0,1.0,2.0
3.0,2.0,1.0
3.0,2.0,1.0
3.0,2.0,1.0
3.0,2.0,1.0
3.0,1.0,2.0
3.0,1.0,2.0
3.0,2.0,1.0
3.0,2.0,1.0
3.0,1.0,2.0
3.0,2.0,1.0
3.0,2.0,1.0
3.0,2.0,1.0
3.0,2.0,1.0
3.0,2.0,1.0
3.0,2.0,1.0
3.0,2.0,1.0
1.0,2.0,3.0
3.0,2.0,1.0
3.0,1.0,2.0
3.0,2.0,1.0
3.0,2.0,1.0
3.0,2.0,1.0
3.0,1.0,2.0
3.0,2.0,1.0
3.0,2.0,1.0
3.0,2.0,1.0
3.0,1.0,2.0
3.0,2.0,1.0
3.0,2.0,1.0
3.0,2.0,1.0
3.0,1.0,2.0
3.0,2.0,1.0
3.0,2.0,1.0
3.0,2.0,1.0
3.0,2.0,1.0
3.0,2.0,1.0
3.0,2.0,1.0
3.0,2.0,1.0
3.0,2.0,1.0
3.0,2.0,1.0
3.0,2.0,1.0
3.0,2.0,1.0
3.0,1.0,2.0
3.0,2.0,1.0
3.0,2.0,1.0
3.0,2.0,1.0
3.0,2.0,1.0
3.0,1.0,2.0
3.0,2.0,1.0
3.0,2.0,1.0
3.0,1.0,2.0
3.0,2.0,1.0
3.0,2.0,1.0
3.0,2.0,1.0
3.0,2.0,1.0
3.0,2.0,1.0
3.0,2.0,1.0
3.0,1.0,2.0
3.0,1.0,2.0
3.0,2.0,1.0
3.0,2.0,1.0
3.0,1.0,2.0
3.0,2.0,1.0
3.0,1.0,2.0
3.0,2.0,1.0
3.0,1.0,2.0
3.0,2.0,1.0
3.0,1.0,2.0
2.0,2.0,2.0
1.0,,2.0
3.0,2.0,1.0
3.0,2.0,1.0
3.0,2.0,1.0
