T,T_plus,delta,n_entrants,window_votes,entrant_vote_share,n_incumbents_1000,n_models_at_T
2023-07-31,2023-08-31,1,3,5086,0.2829335430593787,24,27
2023-07-31,2023-10-31,3,9,30699,0.5798234470178182,24,27
2023-08-31,2023-09-30,1,3,11349,0.29473962463653186,28,30
2023-08-31,2023-11-30,3,17,63336,0.6027693570797019,28,30
2023-09-30,2023-10-31,1,3,14264,0.31758272574312957,31,33
2023-09-30,2023-12-31,3,19,118323,0.7306271815285278,31,33
2023-10-31,2023-11-30,1,11,37723,0.5446809638681971,34,36
2023-10-31,2024-01-31,3,22,166566,0.7840735804425873,34,36
2023-11-30,2023-12-31,1,5,66336,0.34133803666184276,44,47
2023-11-30,2024-02-29,3,23,209495,0.5904150457051481,44,47
2023-12-31,2024-01-31,1,6,62507,0.4039227606508071,52,52
2023-12-31,2024-03-31,3,25,323739,0.8056737062880901,52,52
2024-01-31,2024-02-29,1,12,80652,0.6317388285473392,58,58
2024-01-31,2024-04-30,3,34,567141,0.903891624834036,58,58
2024-02-29,2024-03-31,1,7,180580,0.6995292944955145,68,70
2024-02-29,2024-05-31,3,37,865828,0.907980568888971,68,70
2024-03-31,2024-04-30,1,15,305909,0.7583725879264749,76,77
2024-03-31,2024-06-30,3,37,900447,0.878817964855233,76,77
2024-04-30,2024-05-31,1,15,379339,0.5609652579882375,92,92
2024-04-30,2024-07-31,3,35,767672,0.7265081962087975,92,92
2024-05-31,2024-06-30,1,7,215199,0.33396065966849287,105,107
2024-05-31,2024-08-12,3,22,463978,0.5642013198901672,105,107
2024-06-30,2024-07-31,1,13,173134,0.3995806716185151,114,114
2024-07-31,2024-08-12,1,2,75645,0.2503404058430828,125,127
